Sample,v1,p1,v2,p2,o
1,90,0.24,55,0.77,0.05
2,23,0.3,57,0.09,0.82
3,1,0.75,69,0.45,0.21
4,36,0.99,77,0.77,0.55
5,13,0.87,45,0.19,0.92
6,24,0.37,93,0.27,0.24
7,67,0.08,35,0.63,0.03
8,11,0.63,94,0.33,0.32
9,45,0.25,29,0.64,0.13
10,79,0.93,31,0.98,0.87
11,62,0.69,82,0.53,0.74
12,76,0.1,46,0.63,0.05
13,42,0.19,37,0.66,0
14,37,0.32,86,0.08,0.89
15,87,0.69,81,0.76,0.18
16,84,0.87,90,0.04,0.97
17,13,0.99,68,0.7,0.58
18,77,0.49,98,0.17,0.87
19,13,0.93,21,0.75,0.74
20,81,0.88,66,0.98,0.26
21,59,0.99,68,0.15,0.97
22,37,0.11,32,0.66,0.05
23,51,0.55,70,0.12,0.95
24,48,0.34,21,0.35,0.89
25,98,0.06,52,0.79,0.08
26,69,0.08,33,0.47,0.05
27,2,0.69,70,0.47,0.16
28,82,0.31,35,0.61,0.29
29,52,0.91,10,0.95,0.82
30,23,0.25,83,0.05,0.76
31,75,0.24,76,0.08,0.92
32,55,0.44,82,0.12,0.87
33,78,0.99,93,0.44,0.97
34,28,0.51,65,0.48,0.24
35,9,1,55,0.86,0.34
36,79,0.87,43,1,0.45
37,5,0.12,95,0.03,0.29
38,74,0.04,52,0.45,0.03
39,10,0.36,7,0.92,0.05
40,43,0.05,7,0.54,0.24
41,58,0.9,70,0.06,0.92
42,62,0.79,80,0.49,0.95
43,21,0.46,86,0.38,0.26
44,94,0.28,51,0.96,0.08
45,78,0.05,33,0.39,0.11
46,11,0.12,3,0.66,0.08
47,44,0.11,36,0.79,0
48,98,0.02,91,0.76,0
49,95,0.5,74,0.82,0.13
50,29,0.39,9,0.82,0.42
51,94,0.01,84,0.57,0.03
52,49,0.58,38,0.81,0.13
53,18,0.74,69,0.3,0.74
54,61,0.51,58,0.87,0.05
55,48,0.03,24,0.77,0.03
56,53,0.97,58,0.51,0.92
57,51,0.93,81,0.59,0.84
58,81,0.2,52,0.89,0.05
59,55,0.96,88,0.19,0.92
60,74,0.19,62,0.52,0.03
61,100,0.32,84,0.94,0.11
62,36,0.68,41,0.56,0.87
63,68,0.24,67,0.73,0.03
64,5,0.82,97,0.54,0.16
65,32,0.99,100,0.79,0.42
66,32,0.27,7,0.84,0.37
67,36,0.97,82,0.63,0.76
68,23,1,70,0.83,0.37
69,100,0.03,56,0.76,0.05
70,85,0.46,83,0.67,0.05
71,83,0.16,5,0.91,0.42
72,88,0.74,19,0.86,0.79
73,46,0.67,18,0.68,0.89
74,57,0.72,71,0.14,0.95
75,37,0.25,34,0.76,0.05
76,98,0.03,82,0.1,0.29
77,56,0.12,53,0.28,0.05
78,77,0.21,6,0.49,0.68
79,11,0.65,71,0.27,0.61
80,34,0.32,44,0.23,0.76
81,80,0.22,16,0.76,0.37
82,52,0.72,85,0.3,0.92
83,1,0.27,83,0.24,0.16
84,30,0.97,42,0.31,1
85,67,0.25,61,0.37,0.16
86,86,0.16,39,0.66,0.03
87,75,0.29,18,0.77,0.29
88,93,0.02,83,0.15,0.08
89,65,0.53,43,0.85,0.13
90,72,0.34,34,0.7,0.39
91,90,0.27,51,0.8,0.34
92,21,0.26,25,0.21,0.63
93,8,0.78,61,0.68,0.11
94,43,0.81,61,0.25,0.97
95,92,0.14,45,0.28,0.32
96,49,0.38,38,0.99,0.03
97,38,0.54,11,1,0.26
98,30,0.56,31,0.46,0.89
99,36,0.71,95,0.62,0.32
100,74,0.28,39,0.29,0.84
1,60,0.8,74,0.75,0.39
2,89,0.43,88,0.8,0.16
3,38,0.73,60,0.7,0.21
4,98,0.33,88,0.89,0
5,52,0.61,60,0.32,0.97
6,96,0.15,20,0.59,0.32
7,48,0.63,90,0.34,0.82
8,93,0.38,57,0.77,0.13
9,57,0.94,70,0.23,0.97
10,88,0.19,68,0.37,0.16
11,42,0.24,1,0.47,0.92
12,49,0.16,12,0.74,0.05
13,93,0.2,33,0.57,0.16
14,65,0.93,75,0.78,0.92
15,86,0.09,22,0.76,0.08
16,41,0.51,65,0.35,0.84
17,80,0.81,92,0.58,0.97
18,31,0.94,77,0.55,0.84
19,81,0.22,9,0.64,0.61
20,20,0.81,36,0.01,0.97
21,83,0.97,95,0.25,0.95
22,97,0.73,83,0.89,0.24
23,36,0.35,13,0.95,0.05
24,66,0.96,100,0.51,0.82
25,74,0.74,85,0.67,0.71
26,6,0.6,33,0.49,0.21
27,64,0.25,40,0.48,0.05
28,0.2,0.52,93,0.44,0.16
29,98,0.55,61,0.57,0.89
30,96,0.9,90,0.94,0.39
31,59,0.9,79,0.08,0.89
32,14,0.76,58,0.53,0.26
33,22,0.59,65,0.45,0.24
34,80,0.4,87,0.07,0.92
35,37,0.65,45,0.55,0.76
36,31,0.35,30,0.69,0.05
37,93,0.14,71,0.83,0.03
38,69,0.45,33,0.66,0.5
39,88,0.17,50,0.35,0.16
40,27,0.84,54,0.64,0.5
41,2,0.08,1,0.35,0
42,91,0.6,43,0.65,0.84
43,8,0.76,38,0.02,0.92
44,56,0.05,11,0.81,0.03
45,86,0.06,82,0.91,0
46,56,0.16,49,0.56,0.03
47,63,0.81,67,0.29,0.95
48,76,0.93,100,0.48,0.92
49,39,0.05,14,0.16,0.24
50,34,0.24,16,0.99,0
51,85,0.1,2,0.69,0.53
52,8,0.61,7,0.97,0.08
53,17,0.43,91,0.13,0.66
54,16,0.94,18,0.14,0.92
55,91,0.53,9,0.63,0.84
56,1,0.8,88,0.71,0.03
57,100,0.24,79,0.81,0.05
58,39,0.01,14,0.22,0.18
59,31,0.93,55,0.72,0.66
60,11,0.95,79,0.62,0.42
61,79,0.24,19,0.91,0.29
62,72,0.29,78,0.13,1
63,25,0.33,94,0.03,0.84
64,70,0.78,52,0.82,0.71
65,19,0.97,94,0.51,0.5
66,36,0.17,41,0.13,0.45
67,36,0.44,10,0.88,0.21
68,92,0.57,47,0.67,0.76
69,5,0.88,69,0.84,0.08
70,93,0.55,31,0.6,0.92
71,68,0.52,1,0.93,0.68
72,85,0.12,32,0.15,0.95
73,1,1,31,0.51,0.5
74,90,0.45,13,0.54,0.92
75,66,0.17,24,0.67,0.08
76,78,0.82,3,0.89,0.89
77,49,0.07,35,0.9,0.03
78,78,0.46,63,0.94,0.03
79,26,0.48,46,0.06,1
80,37,0.9,48,0.63,0.68
81,87,0.66,96,0.47,0.89
82,21,0.89,96,0.87,0.13
83,46,0.7,13,0.77,0.79
84,75,0.07,57,0.1,0.39
85,74,0.09,30,0.28,0.03
86,83,0.32,59,1,0.13
87,54,0.95,86,0.17,0.97
88,79,0.23,21,0.79,0.13
89,16,0.63,70,0.54,0.08
90,57,0.74,60,0.39,0.97
91,62,0.07,46,0.53,0.05
92,30,0.93,40,0.37,0.97
93,98,0.57,75,0.79,0.26
94,39,0.78,78,0.7,0.24
95,57,0.79,82,0.12,0.95
96,75,0.19,4,0.45,0.76
97,18,0.4,71,0.3,0.18
98,41,0.18,91,0.1,0.29
99,36,0.55,99,0.06,0.87
100,33,0.97,87,0.17,0.92
