"","p1","t1","x1","p2","t2","x2","trial","choice","manipulation","num"
"1",0.9,0,150,0.6,0,400,"RvA.1.Base","RvA","Base",1
"2",0.7,0,275,0.55,0,400,"RvA.2.Base","RvA","Base",2
"3",0.6,0,50,0.2,0,275,"RvA.3.Base","RvA","Base",3
"4",0.85,0,150,0.5,0,475,"RvA.4.Base","RvA","Base",4
"5",0.95,0,200,0.75,0,400,"RvA.5.Base","RvA","Base",5
"6",0.6,0,125,0.45,0,250,"RvA.6.Base","RvA","Base",6
"7",0.5,0,300,0.4,0,475,"RvA.7.Base","RvA","Base",7
"8",0.5,0,100,0.2,0,425,"RvA.8.Base","RvA","Base",8
"9",0.95,1,100,0.75,1,200,"RvA.9.Base","RvA","Base",9
"10",0.95,2,325,0.85,2,400,"RvA.10.Base","RvA","Base",10
"11",0.5,3,75,0.45,3,100,"RvA.11.Base","RvA","Base",11
"12",0.25,4,50,0.05,4,325,"RvA.12.Base","RvA","Base",12
"13",0.55,5,325,0.5,5,350,"RvA.13.Base","RvA","Base",13
"14",0.5,6,50,0.1,6,375,"RvA.14.Base","RvA","Base",14
"15",0.5,8,250,0.4,8,325,"RvA.15.Base","RvA","Base",15
"16",0.45,9,125,0.2,9,475,"RvA.16.Base","RvA","Base",16
"17",0.9,0,1500,0.6,0,4000,"RvA.1.Mag","RvA","Mag",1
"18",0.7,0,2750,0.55,0,4000,"RvA.2.Mag","RvA","Mag",2
"19",0.6,0,500,0.2,0,2750,"RvA.3.Mag","RvA","Mag",3
"20",0.85,0,1500,0.5,0,4750,"RvA.4.Mag","RvA","Mag",4
"21",0.95,0,2000,0.75,0,4000,"RvA.5.Mag","RvA","Mag",5
"22",0.6,0,1250,0.45,0,2500,"RvA.6.Mag","RvA","Mag",6
"23",0.5,0,3000,0.4,0,4750,"RvA.7.Mag","RvA","Mag",7
"24",0.5,0,1000,0.2,0,4250,"RvA.8.Mag","RvA","Mag",8
"25",0.95,1,1000,0.75,1,2000,"RvA.9.Mag","RvA","Mag",9
"26",0.95,2,3250,0.85,2,4000,"RvA.10.Mag","RvA","Mag",10
"27",0.5,3,750,0.45,3,1000,"RvA.11.Mag","RvA","Mag",11
"28",0.25,4,500,0.05,4,3250,"RvA.12.Mag","RvA","Mag",12
"29",0.55,5,3250,0.5,5,3500,"RvA.13.Mag","RvA","Mag",13
"30",0.5,6,500,0.1,6,3750,"RvA.14.Mag","RvA","Mag",14
"31",0.5,8,2500,0.4,8,3250,"RvA.15.Mag","RvA","Mag",15
"32",0.45,9,1250,0.2,9,4750,"RvA.16.Mag","RvA","Mag",16
"33",0.9,12,150,0.6,12,400,"RvA.1.Imm","RvA","Imm",1
"34",0.7,12,275,0.55,12,400,"RvA.2.Imm","RvA","Imm",2
"35",0.6,12,50,0.2,12,275,"RvA.3.Imm","RvA","Imm",3
"36",0.85,12,150,0.5,12,475,"RvA.4.Imm","RvA","Imm",4
"37",0.95,12,200,0.75,12,400,"RvA.5.Imm","RvA","Imm",5
"38",0.6,12,125,0.45,12,250,"RvA.6.Imm","RvA","Imm",6
"39",0.5,12,300,0.4,12,475,"RvA.7.Imm","RvA","Imm",7
"40",0.5,12,100,0.2,12,425,"RvA.8.Imm","RvA","Imm",8
"41",0.95,13,100,0.75,13,200,"RvA.9.Imm","RvA","Imm",9
"42",0.95,14,325,0.85,14,400,"RvA.10.Imm","RvA","Imm",10
"43",0.5,15,75,0.45,15,100,"RvA.11.Imm","RvA","Imm",11
"44",0.25,16,50,0.05,16,325,"RvA.12.Imm","RvA","Imm",12
"45",0.55,17,325,0.5,17,350,"RvA.13.Imm","RvA","Imm",13
"46",0.5,18,50,0.1,18,375,"RvA.14.Imm","RvA","Imm",14
"47",0.5,20,250,0.4,20,325,"RvA.15.Imm","RvA","Imm",15
"48",0.45,21,125,0.2,21,475,"RvA.16.Imm","RvA","Imm",16
"49",0.18,0,150,0.12,0,400,"RvA.1.Cert","RvA","Cert",1
"50",0.14,0,275,0.11,0,400,"RvA.2.Cert","RvA","Cert",2
"51",0.12,0,50,0.04,0,275,"RvA.3.Cert","RvA","Cert",3
"52",0.17,0,150,0.1,0,475,"RvA.4.Cert","RvA","Cert",4
"53",0.19,0,200,0.15,0,400,"RvA.5.Cert","RvA","Cert",5
"54",0.12,0,125,0.09,0,250,"RvA.6.Cert","RvA","Cert",6
"55",0.1,0,300,0.08,0,475,"RvA.7.Cert","RvA","Cert",7
"56",0.1,0,100,0.04,0,425,"RvA.8.Cert","RvA","Cert",8
"57",0.19,1,100,0.15,1,200,"RvA.9.Cert","RvA","Cert",9
"58",0.19,2,325,0.17,2,400,"RvA.10.Cert","RvA","Cert",10
"59",0.1,3,75,0.09,3,100,"RvA.11.Cert","RvA","Cert",11
"60",0.05,4,50,0.01,4,325,"RvA.12.Cert","RvA","Cert",12
"61",0.11,5,325,0.1,5,350,"RvA.13.Cert","RvA","Cert",13
"62",0.1,6,50,0.02,6,375,"RvA.14.Cert","RvA","Cert",14
"63",0.1,8,250,0.08,8,325,"RvA.15.Cert","RvA","Cert",15
"64",0.09,9,125,0.04,9,475,"RvA.16.Cert","RvA","Cert",16
"65",1,2,325,1,9,475,"DvA.1.Base","DvA","Base",1
"66",1,1,75,1,30,300,"DvA.2.Base","DvA","Base",2
"67",1,1,100,1,5,200,"DvA.3.Base","DvA","Base",3
"68",1,3,125,1,21,325,"DvA.4.Base","DvA","Base",4
"69",1,6,125,1,30,325,"DvA.5.Base","DvA","Base",5
"70",1,30,350,1,42,425,"DvA.6.Base","DvA","Base",6
"71",1,3,100,1,12,225,"DvA.7.Base","DvA","Base",7
"72",1,4,175,1,15,350,"DvA.8.Base","DvA","Base",8
"73",0.95,0,125,0.95,24,350,"DvA.9.Base","DvA","Base",9
"74",0.9,1,100,0.9,12,325,"DvA.10.Base","DvA","Base",10
"75",0.85,6,150,0.85,27,450,"DvA.11.Base","DvA","Base",11
"76",0.8,13,300,0.8,30,425,"DvA.12.Base","DvA","Base",12
"77",0.75,0,350,0.75,4,450,"DvA.13.Base","DvA","Base",13
"78",0.7,12,175,0.7,30,350,"DvA.14.Base","DvA","Base",14
"79",0.65,4,75,0.65,30,225,"DvA.15.Base","DvA","Base",15
"80",0.6,15,75,0.6,36,175,"DvA.16.Base","DvA","Base",16
"81",1,2,3250,1,9,4750,"DvA.1.Mag","DvA","Mag",1
"82",1,1,750,1,30,3000,"DvA.2.Mag","DvA","Mag",2
"83",1,1,1000,1,5,2000,"DvA.3.Mag","DvA","Mag",3
"84",1,3,1250,1,21,3250,"DvA.4.Mag","DvA","Mag",4
"85",1,6,1250,1,30,3250,"DvA.5.Mag","DvA","Mag",5
"86",1,30,3500,1,42,4250,"DvA.6.Mag","DvA","Mag",6
"87",1,3,1000,1,12,2250,"DvA.7.Mag","DvA","Mag",7
"88",1,4,1750,1,15,3500,"DvA.8.Mag","DvA","Mag",8
"89",0.95,0,1250,0.95,24,3500,"DvA.9.Mag","DvA","Mag",9
"90",0.9,1,1000,0.9,12,3250,"DvA.10.Mag","DvA","Mag",10
"91",0.85,6,1500,0.85,27,4500,"DvA.11.Mag","DvA","Mag",11
"92",0.8,13,3000,0.8,30,4250,"DvA.12.Mag","DvA","Mag",12
"93",0.75,0,3500,0.75,4,4500,"DvA.13.Mag","DvA","Mag",13
"94",0.7,12,1750,0.7,30,3500,"DvA.14.Mag","DvA","Mag",14
"95",0.65,4,750,0.65,30,2250,"DvA.15.Mag","DvA","Mag",15
"96",0.6,15,750,0.6,36,1750,"DvA.16.Mag","DvA","Mag",16
"97",1,14,325,1,21,475,"DvA.1.Imm","DvA","Imm",1
"98",1,13,75,1,42,300,"DvA.2.Imm","DvA","Imm",2
"99",1,13,100,1,17,200,"DvA.3.Imm","DvA","Imm",3
"100",1,15,125,1,33,325,"DvA.4.Imm","DvA","Imm",4
"101",1,18,125,1,42,325,"DvA.5.Imm","DvA","Imm",5
"102",1,42,350,1,54,425,"DvA.6.Imm","DvA","Imm",6
"103",1,15,100,1,24,225,"DvA.7.Imm","DvA","Imm",7
"104",1,16,175,1,27,350,"DvA.8.Imm","DvA","Imm",8
"105",0.95,12,125,0.95,36,350,"DvA.9.Imm","DvA","Imm",9
"106",0.9,13,100,0.9,24,325,"DvA.10.Imm","DvA","Imm",10
"107",0.85,18,150,0.85,39,450,"DvA.11.Imm","DvA","Imm",11
"108",0.8,25,300,0.8,42,425,"DvA.12.Imm","DvA","Imm",12
"109",0.75,12,350,0.75,16,450,"DvA.13.Imm","DvA","Imm",13
"110",0.7,24,175,0.7,42,350,"DvA.14.Imm","DvA","Imm",14
"111",0.65,16,75,0.65,42,225,"DvA.15.Imm","DvA","Imm",15
"112",0.6,27,75,0.6,48,175,"DvA.16.Imm","DvA","Imm",16
"113",0.2,2,325,0.2,9,475,"DvA.1.Cert","DvA","Cert",1
"114",0.2,1,75,0.2,30,300,"DvA.2.Cert","DvA","Cert",2
"115",0.2,1,100,0.2,5,200,"DvA.3.Cert","DvA","Cert",3
"116",0.2,3,125,0.2,21,325,"DvA.4.Cert","DvA","Cert",4
"117",0.2,6,125,0.2,30,325,"DvA.5.Cert","DvA","Cert",5
"118",0.2,30,350,0.2,42,425,"DvA.6.Cert","DvA","Cert",6
"119",0.2,3,100,0.2,12,225,"DvA.7.Cert","DvA","Cert",7
"120",0.2,4,175,0.2,15,350,"DvA.8.Cert","DvA","Cert",8
"121",0.19,0,125,0.19,24,350,"DvA.9.Cert","DvA","Cert",9
"122",0.18,1,100,0.18,12,325,"DvA.10.Cert","DvA","Cert",10
"123",0.17,6,150,0.17,27,450,"DvA.11.Cert","DvA","Cert",11
"124",0.16,13,300,0.16,30,425,"DvA.12.Cert","DvA","Cert",12
"125",0.15,0,350,0.15,4,450,"DvA.13.Cert","DvA","Cert",13
"126",0.14,12,175,0.14,30,350,"DvA.14.Cert","DvA","Cert",14
"127",0.13,4,75,0.13,30,225,"DvA.15.Cert","DvA","Cert",15
"128",0.12,15,75,0.12,36,175,"DvA.16.Cert","DvA","Cert",16
"129",0.8,0,400,1,8,400,"DvR.1.Base","DvR","Base",1
"130",0.7,0,450,1,21,450,"DvR.2.Base","DvR","Base",2
"131",0.75,0,400,1,15,400,"DvR.3.Base","DvR","Base",3
"132",0.85,0,225,1,12,225,"DvR.4.Base","DvR","Base",4
"133",0.1,0,75,1,42,75,"DvR.5.Base","DvR","Base",5
"134",0.95,0,125,1,5,125,"DvR.6.Base","DvR","Base",6
"135",0.85,0,50,1,9,50,"DvR.7.Base","DvR","Base",7
"136",0.7,0,100,1,4,100,"DvR.8.Base","DvR","Base",8
"137",0.2,6,150,0.95,36,150,"DvR.9.Base","DvR","Base",9
"138",0.75,5,150,0.95,9,150,"DvR.10.Base","DvR","Base",10
"139",0.55,1,50,0.9,5,50,"DvR.11.Base","DvR","Base",11
"140",0.6,2,225,0.9,6,225,"DvR.12.Base","DvR","Base",12
"141",0.5,4,350,0.85,8,350,"DvR.13.Base","DvR","Base",13
"142",0.45,3,250,0.85,6,250,"DvR.14.Base","DvR","Base",14
"143",0.35,9,250,0.4,18,250,"DvR.15.Base","DvR","Base",15
"144",0.4,9,300,0.5,15,300,"DvR.16.Base","DvR","Base",16
"145",0.8,0,4000,1,8,4000,"DvR.1.Mag","DvR","Mag",1
"146",0.7,0,4500,1,21,4500,"DvR.2.Mag","DvR","Mag",2
"147",0.75,0,4000,1,15,4000,"DvR.3.Mag","DvR","Mag",3
"148",0.85,0,2250,1,12,2250,"DvR.4.Mag","DvR","Mag",4
"149",0.1,0,750,1,42,750,"DvR.5.Mag","DvR","Mag",5
"150",0.95,0,1250,1,5,1250,"DvR.6.Mag","DvR","Mag",6
"151",0.85,0,500,1,9,500,"DvR.7.Mag","DvR","Mag",7
"152",0.7,0,1000,1,4,1000,"DvR.8.Mag","DvR","Mag",8
"153",0.2,6,1500,0.95,36,1500,"DvR.9.Mag","DvR","Mag",9
"154",0.75,5,1500,0.95,9,1500,"DvR.10.Mag","DvR","Mag",10
"155",0.55,1,500,0.9,5,500,"DvR.11.Mag","DvR","Mag",11
"156",0.6,2,2250,0.9,6,2250,"DvR.12.Mag","DvR","Mag",12
"157",0.5,4,3500,0.85,8,3500,"DvR.13.Mag","DvR","Mag",13
"158",0.45,3,2500,0.85,6,2500,"DvR.14.Mag","DvR","Mag",14
"159",0.35,9,2500,0.4,18,2500,"DvR.15.Mag","DvR","Mag",15
"160",0.4,9,3000,0.5,15,3000,"DvR.16.Mag","DvR","Mag",16
"161",0.8,12,400,1,20,400,"DvR.1.Imm","DvR","Imm",1
"162",0.7,12,450,1,33,450,"DvR.2.Imm","DvR","Imm",2
"163",0.75,12,400,1,27,400,"DvR.3.Imm","DvR","Imm",3
"164",0.85,12,225,1,24,225,"DvR.4.Imm","DvR","Imm",4
"165",0.1,12,75,1,54,75,"DvR.5.Imm","DvR","Imm",5
"166",0.95,12,125,1,17,125,"DvR.6.Imm","DvR","Imm",6
"167",0.85,12,50,1,21,50,"DvR.7.Imm","DvR","Imm",7
"168",0.7,12,100,1,16,100,"DvR.8.Imm","DvR","Imm",8
"169",0.2,18,150,0.95,48,150,"DvR.9.Imm","DvR","Imm",9
"170",0.75,17,150,0.95,21,150,"DvR.10.Imm","DvR","Imm",10
"171",0.55,13,50,0.9,17,50,"DvR.11.Imm","DvR","Imm",11
"172",0.6,14,225,0.9,18,225,"DvR.12.Imm","DvR","Imm",12
"173",0.5,16,350,0.85,20,350,"DvR.13.Imm","DvR","Imm",13
"174",0.45,15,250,0.85,18,250,"DvR.14.Imm","DvR","Imm",14
"175",0.35,21,250,0.4,30,250,"DvR.15.Imm","DvR","Imm",15
"176",0.4,21,300,0.5,27,300,"DvR.16.Imm","DvR","Imm",16
"177",0.16,0,400,0.2,8,400,"DvR.1.Cert","DvR","Cert",1
"178",0.14,0,450,0.2,21,450,"DvR.2.Cert","DvR","Cert",2
"179",0.15,0,400,0.2,15,400,"DvR.3.Cert","DvR","Cert",3
"180",0.17,0,225,0.2,12,225,"DvR.4.Cert","DvR","Cert",4
"181",0.02,0,75,0.2,42,75,"DvR.5.Cert","DvR","Cert",5
"182",0.19,0,125,0.2,5,125,"DvR.6.Cert","DvR","Cert",6
"183",0.17,0,50,0.2,9,50,"DvR.7.Cert","DvR","Cert",7
"184",0.14,0,100,0.2,4,100,"DvR.8.Cert","DvR","Cert",8
"185",0.04,6,150,0.19,36,150,"DvR.9.Cert","DvR","Cert",9
"186",0.15,5,150,0.19,9,150,"DvR.10.Cert","DvR","Cert",10
"187",0.11,1,50,0.18,5,50,"DvR.11.Cert","DvR","Cert",11
"188",0.12,2,225,0.18,6,225,"DvR.12.Cert","DvR","Cert",12
"189",0.1,4,350,0.17,8,350,"DvR.13.Cert","DvR","Cert",13
"190",0.09,3,250,0.17,6,250,"DvR.14.Cert","DvR","Cert",14
"191",0.07,9,250,0.08,18,250,"DvR.15.Cert","DvR","Cert",15
"192",0.08,9,300,0.1,15,300,"DvR.16.Cert","DvR","Cert",16
"193",1,4,225,0.7,0,450,"RvAD.1.Base","RvAD","Base",1
"194",1,2,175,0.55,0,450,"RvAD.2.Base","RvAD","Base",2
"195",1,3,50,0.25,0,325,"RvAD.3.Base","RvAD","Base",3
"196",1,9,150,0.5,0,325,"RvAD.4.Base","RvAD","Base",4
"197",1,9,200,0.5,0,450,"RvAD.5.Base","RvAD","Base",5
"198",1,1,175,0.5,0,400,"RvAD.6.Base","RvAD","Base",6
